Year,Total_Assets,Total_Equity,Total_Debt
2021,86176.34999999999,44174.68,21719.4
2022,83811.43999999999,50435.27,11298.8
2023,91380.4,54324.54,11057.7
2024,100797.11,60227.48,11403.0
2025,133632.06,70706.76999999999,24102.2
