Year,Revenue,EBITDA,EBIT,Net_Profit
2021,44725.8,11567.909999999998,8867.679999999998,4843.329999999999
2022,52598.83,11514.35,8799.6,6664.83
2023,63239.98,10619.850000000002,7731.860000000002,4566.290000000003
2024,70908.14,12978.559999999998,9833.259999999998,6446.999999999998
2025,75955.13,12796.880000000005,8781.930000000004,5642.900000000004
